score,content,case folding,remove punctuation
5,Aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri
5,"perjalanan jadi lebih cepat dan tepat waktu, terimakasih","perjalanan jadi lebih cepat dan tepat waktu, terimakasih",perjalanan jadi lebih cepat  tepat waktu terimakasih
5,"semoga lancar , masih bakal berubah rating kalau ketemu bug","semoga lancar , masih bakal berubah rating kalau ketemu bug",semoga lancar masih bakal berubah rating kalau ketemu 
5,"MRR keren, aman dan nyaman, tp mahal adain promo sesekali","mrr keren, aman dan nyaman, tp mahal adain promo sesekali", keren aman  nyaman  mahal adain promo sesekali
5,"Sebelumnya saya capek naik turun platform di KRL Jabodetabek dan khalayak yg naik bermacam-macam. Sekarang dg MRT Jakarta sy merasa lebih aman untuk masuk gerbong dg platform yang datar dan penumpang yg sudah lebih memperhatikan kesehatan / prokes dan selevel orang kantoran. Memang di beberapa tujuan, sy harus membayar lebih mahal dg mobil on-line, tetapi perasaan ""secure"" dan ""nyaman"" membuat sy sbg lansia (usia 70 tahun) tidak merasa capek bepergian dg MRT. Terima kasih MRT Jakarta","sebelumnya saya capek naik turun platform di krl jabodetabek dan khalayak yg naik bermacam-macam. sekarang dg mrt jakarta sy merasa lebih aman untuk masuk gerbong dg platform yang datar dan penumpang yg sudah lebih memperhatikan kesehatan / prokes dan selevel orang kantoran. memang di beberapa tujuan, sy harus membayar lebih mahal dg mobil on-line, tetapi perasaan ""secure"" dan ""nyaman"" membuat sy sbg lansia (usia 70 tahun) tidak merasa capek bepergian dg mrt. terima kasih mrt jakarta",sebelumnya saya capek naik turun platform   jabodetabek  khalayak  naik bermacammacam sekarang   jakarta  merasa lebih aman untuk masuk gerbong  platform yang datar  penumpang  sudah lebih memperhatikan kesehatan prokes  selevel orang kantoran memang  beberapa tujuan  harus membayar lebih mahal  mobil online tetapi perasaan secure  nyaman membuat   lansia usia tahun tidak merasa capek bepergian   terima kasih  jakarta
5,"Semoga lebih banyak lagi rute MRT di Jakarta agar begitu keluar Rumah, Kantor, pasar, pusat perbelanjaan, bengkel, tinggal jalan kaki sebentar langsung naik MRT. Begitu pun sebaliknya ketika datang langsung tiba di tujuan tanpa naik moda transportasi lain yang harus menunggu lama.","semoga lebih banyak lagi rute mrt di jakarta agar begitu keluar rumah, kantor, pasar, pusat perbelanjaan, bengkel, tinggal jalan kaki sebentar langsung naik mrt. begitu pun sebaliknya ketika datang langsung tiba di tujuan tanpa naik moda transportasi lain yang harus menunggu lama.",semoga lebih banyak lagi rute   jakarta agar begitu keluar rumah kantor pasar pusat perbelanjaan bengkel tinggal jalan kaki sebentar langsung naik  begitu  sebaliknya ketika datang langsung tiba  tujuan tanpa naik moda transportasi lain yang harus menunggu lama
5,keren canggih lucu aman tertib bersih nyaman ramah disabilitas cepat sekali tepat waktu indonesia maju wifi 5g 4g fasilitas umum hrs lengkap kereeeeeeeeeeen sekaliiiiiiiiiiiiiiii,keren canggih lucu aman tertib bersih nyaman ramah disabilitas cepat sekali tepat waktu indonesia maju wifi 5g 4g fasilitas umum hrs lengkap kereeeeeeeeeeen sekaliiiiiiiiiiiiiiii,keren canggih lucu aman tertib bersih nyaman ramah disabilitas cepat sekali tepat waktu indonesia maju wifi   fasilitas umum  lengkap kereeeeeeeeeeen sekaliiiiiiiiiiiiiiii
5,"terimakasih MRT Jakarta, pelayanan terbaik yang luar biasa. singkatnya HP saya mati di st.Istora Mandiri, dan selalu gagal untuk top up saldo emoney..jadinya mba Cindy (petugas St.Istora Mandiri) menawarkan untuk di charge HPnya selama 10 menit, sudah gitu jaringan di HPku hilang, eh mbanya nawarin untuk Hotspot (karna kalo Wifi st. harus login dulu, lamaaa). alhamdulillah akhirnya jadi bisa pulang karna pelayanannya luar biasa. Angkat mba Cindy jadi organik min, orang baik, pelayananny maksimal","terimakasih mrt jakarta, pelayanan terbaik yang luar biasa. singkatnya hp saya mati di st.istora mandiri, dan selalu gagal untuk top up saldo emoney..jadinya mba cindy (petugas st.istora mandiri) menawarkan untuk di charge hpnya selama 10 menit, sudah gitu jaringan di hpku hilang, eh mbanya nawarin untuk hotspot (karna kalo wifi st. harus login dulu, lamaaa). alhamdulillah akhirnya jadi bisa pulang karna pelayanannya luar biasa. angkat mba cindy jadi organik min, orang baik, pelayananny maksimal",terimakasih  jakarta pelayanan terbaik yang luar biasa singkatnya  saya mati  stistora mandiri  selalu gagal untuk   saldo emoneyjadinya  cindy petugas stistora mandiri menawarkan untuk  charge hpnya selama menit sudah gitu jaringan  hpku hilang  mbanya nawarin untuk hotspot karna kalo wifi  harus login dulu lamaaa alhamdulillah akhirnya jadi bisa pulang karna pelayanannya luar biasa angkat  cindy jadi organik  orang baik pelayananny maksimal
5,"bersih, nyaman, keamanan bagus, semoga aja MRT bisa nambah rute ke banyak kota, seperti ke bogor.","bersih, nyaman, keamanan bagus, semoga aja mrt bisa nambah rute ke banyak kota, seperti ke bogor.",bersih nyaman keamanan bagus semoga   bisa nambah rute  banyak kota seperti  bogor
5,Bagus dan nyaman ❤️,bagus dan nyaman ❤️,bagus  nyaman
