score,content
5,Mantap.. Pelayanan memuaskan...👍 Semoga bisa ditambah lagi buat kuota arus baliknya.. Trutama yang dari pekalongan ke jakarta belum ada.
5,"Aplikasi transportasi yang terhubung dengan semua daerah meski beda pulau, sangat membantu,, sangat bagus, baru ini aplikasi pemerintah yang bener2 berguna."
5,Assallammuallaikum saya pribadi sangat senang adanya bis kota bisa membantu masyarakat Balikpapan dalam bepergian Aman yaman dan murah sekali saya sangat setuju dan saya sangat puas banget dengan pelayanannya makasih Mitra Darat🙏
5,"Terimakasih Bapak menteri perhubungan dan pemerintah kota maupun kabupaten bekasi,dengan adanya bis kita sekarang saya naik dari halte depan patriot sampai dengan stasiun cikarang. Sebelum saya naik bis kita saya selalu naik angkutan umum dan selalu di oper oper ke angkutan yang lain mulai dari bekasi sampai dengan stasiun cikarang sehingga saya harus membayar banyak uang untuk setiap menaiki angkutan sampai dengan stasiun bekasi. Sekali lagi saya ucapkan terimakasih banyak bapak/ ibu."
5,"Pelayanan ramah, membantu sekali .. Mohon diperbaiki ke sistem aplikasinya biar gak loading lama"
5,Bagus bisa lihat posisi bus scr real time. Cuman sering error. Waktu dan lokasi mendadak tidak berjalan. Mohon diperbaiki lagi
5,Akurat apk nya mantap...hanya disayangkan ketika keluar aplikasi harus mulai dari awal lagi...jadi agak ribet dalam memantau bis tranpakuan bogor (BISKITA)
5,"Yg terhormat untuk bis kita trans depok. Untuk armada di saat pagi hari yg arah ke stasiun Depok agak susah dan armada sedikit, tolong untuk armada nya ditambahkan agar bisa terpenuhi. Terimakasih"
5,"Aplikasi muantap. Semoga ke depannya ada fitur cari tempat yang dituju, ada di mana dan harus naik bus koridor mana. Semoga sukses selalu."
5,Tolong warna teman bus di map jangan sama dengan warna halte. Biar lebih kelihatan. Usul warna bus jd merah atau kuning biar lebih terlihat di aplikasi. Trmksh..
5,"Aplikasinya mbantu banget. Gatau apa yang kurang, udah top. Lengkap semua bis ada disini live tracking dan info rutenya✨✨✨✨"
5,"Belum pernah dapat tiket gratis,,nyoba2 download mitra darat barangkali aja dapat,,,tolong dong kok saya ketik tiket habis melulu ya.. makasih"
5,"Terimakasih sudah memberi kesempatan kepada kami untuk bisa mudik bareng,,dapet tiket pulang pergi beserta motor,,sekali lagi terimakasih semoga untuk tahun"" kedepannya lebih dikasih kemudahan untuk masuk daftar keaplikasinya,,, untuk validasinya juga Alhamdulillah cepat tidak terlalu antri"
5,Trackingnya tepat serta selalu update. Aplikasinya juga tidak susah dimengerti.
5,"Bagus sekarang saya sudah jarang sekali mengalami live track yang berhenti berhenti, walaupun berhenti pun tracking jamnya sesuai dengan jam sekarang, terimakasih"
5,Terimakasih sudah menyelenggarakan progam mudik gratis ini.semakin maju dan tentunya untuk aplikasi agar lebih ditingkatkan lagi yaa
5,Halo Min Mitra darat mau tanya. Saya cari tombol menu mudik gratis kok gk ada ya di app mitra darat.
5,"Agak lumayan lama nunggu di halte koridor. 15 menitan... Bis bersih, aman nyaman. Mudahan program lanjut dan berkembang"
5,"kenapa rute kampus tamalanrea dan bandara di tiadakan, kami sudah nyaman, klau bisa haltenya yg di tambah"
5,"Kenapa gak disatuin aja TMB sama TMP, padahal kan kalau disatuin lebih mudah, di satu aplikasi."
5,membantu sekali .. jadi ga capek berdiri lama-lama karna bisa pantau dari gadget..
5,Aplikasi yang sangat bagus dan berguna untuk pengguna transportasi umum di seluruh Indonesia. Aplikasi paling keren dah. 👍👍🙏
5,Aplikasinya ringan dan lengkap bisa lihat rute bis lainnya di daerah.
5,Sangat membantu sekali untuk brangkat k Gianyar nganter anak sekolah tp sayang katanya udh gak br oprasi lg.pdhal besok mau k Gianyar JD bingung naik apa
5,Bintang 5 buat saya masuk mudik gratis nya gan
5,Mudah di gunakan untuk semua kalangan..
5,"cukup bagus, tapi sayang belum mencakup semua terminal daerah jadi gabisa ikut program mudik gratis. fyi : saya orang bogor, terdekat ke terminal baranang siang namun tidak tersedia"
5,sangat membantu
5,"Saya berharap untuk bisa mendapatkan info mudik gratis melalui aplikasi mitra darat ini, terimakasih bapak/ibu yg lagi bertugas,semangat, ditunggu ya info mudik gratisnya segera dibuka,😄"
5,Tracking teman bus sangat jelas dan akurat. UI aplikasi juga sangat baik. Salah satu aplikasi pemerintah terbaik yang pernah saya gunakan👍
5,Sangat membantu memantau kedatangan armada bus..akurat..semoga bisa dipertahankan aplikasinya..good
5,makasih mitra darat aku udah 2x ikut mudik gratis 2023 dan 2025 alhamdulillah dapat pp mudik nyaman membantu bagi perantau yg kendala biaya buat mudik makasih mitra darat makasih kemenhub lanjutkan🙏🙏🙏
5,"Sangat berterimakasih adanya BisKita,kalau boleeh tambah rutenya pak ke Royal Park Residence,,,dari Royal termasuk banyak penumpang anak sekolah dan ortu.Terimakasih"
5,Terimakasih mitradarat untuk bantuannya
5,Selalu ikuti Mitra Darat...Tapi belum pernah ikut mudik gratis nya...Saat pendaftaran on line sulit sekali harus berulang ulang
5,"Alhamdulillah jadi bisa tracking teman bus kota bandung, sebelunnya di aplikasi teman bus belum jalan fiturnya.."
5,"Aplikasinya untuk UI nya bagus dan lebih kekinian, petanya akurat dan lacak bus nya mantap"
5,Agar dipermudah pendaftarannya
5,Aplikasi yang sangat bermanfaat. Jadi lebih mudah mengakses fasilitas Bus Trans Kota diberbagai daerah. 👍
5,"mantap sekarang kalo mau tracking teman bus di aplikasi mitradarat udah lebih akurat, ga kayak kemaren ngetracking di aplikasi teman bus mencet koridor ini eh yg keluar koridor lain🗿"
5,"Sangat sangat bermanfaat, apalahi yg biasa menggunakan jasa angkutan umum darat, semoga kedepannya bertambah berkembang."
5,Kenapa GK bisa log in lewat google ada tulisan merah klo mau log in??
5,"Aplikasi nya Bagus, Mohon Rute nya di Tambah Lagi Untuk Daerah Denpasar Rute Jalan Raya Sesetan Ke Arah Pasar Sanglah Belum Ada, maaf kalau salah."
5,Apk ini sangat bagus dan sangat membantu saya untuk melihat keberadaan busnya jangan sampai di hilangkan ya apk nya
5,"Sangat membantu sekali pengecekan KIR asli atau palsu, dokumen uji KIR masih rawan sekali dipalsukan"
5,Sudah baik mungkin perlu diberi jadwal jam keberangkatan dari setiap halte supaya tidak ketinggalan bus selain itu diberi peta rute koridor (tanpa bus) di setiap kota agar tau mau transit ke koridor berapa
5,"Aplikasinya lengkap & mudah digunakan, terimakasih Mitra Darat dari kemenhub udah sangat membantu sekali."
5,"aplikasi Mitra Darat bagus. cek jalur, koridor bus kota, lebih praktis dan tidak tersesat. jadwal koridor bus tak membingungkan pelanggan bus kota. mudah dicari dan tepat. mantap"
5,"Sudah sangat membantu, tapi mohon untuk update lagi, karena ada trayek baru di Surabaya, yaitu FD4 dari SIER ke Kota Lama. Trims."
5,"Aplikasi mudah di gunakan, pelayanan di pos verifikasi cepat dan nyaman,terimakasih Mitra Darat 👍👍"
5,Aplikasinya simpel dan mudah didonloud. Namun harus sedikit bersabar krn banyaknya pengguna.
5,"Saya mau daftar untuk arus balik dari Malang ke Jakarta sudah habis,sedangkan kemarin waktu pemberangkatan ada beberapa bangku bis yg kosong tolong di revisi lagi pak,terima kasih🙏"
5,"Terimakasih mitra darat, sangat membantu kegiatan saya sehari-hari, di Balikpapan khususnya."
5,"Min, fiturnya diaktifkan aja semuanya dong 🙏😁. Barusan buka apk.nya lagi sisa fitur bus tracking 😭"
5,"Aplikasi yang sangat bagus dengan fitur yang lengkap, simpel, dan modern!"
5,Aplikasi yang bermanfaat bagi pengguna angkutan bus. Mantaaapp..bagus..bermafaat..👍
5,"sangat membantu perjalanan kerja, nyaman, keren pokonya,,, mantappp"
5,top... aplikasi yg membantu buat para pemudik semoga server nya bisa lebih baik lagi biar gak lemot
5,"Syukur Alhamdulillah Bisa diBantu sama Kemenhub, dan sgt mudah skl pendaftarannya,.. Pelayanannya Ramah Mengasikkan,.... SmgThn2 Berikutnya Bisa Bergabung lg"
5,Alhamdulillah bisa mudik gratis bareng Kemenhub. Pelayanan bagus. Pendaftaran mudah. Trimakasih Kemenhub. sukses selalu
5,"Verifikasi mudik gratis pelayanan ramah cepat dan tidak ribet,semoga tambh sukses"
5,"Alhamdulillah dapet tiket gratis pp, proses validasi juga cepat. Terima kasih"
5,sangat bermanfaat dan usul kalau ada pengalihan jalur tolong di kasih notif.
5,"Harga terjangkau, waktu akurat, dan pelayanan memuaskan. Terimakasih untuk layananya"
5,"Recommended banget, bisa tau jadwal bus datang dan pergi jadi bisa prepare lebih efisien."
5,"sangat bagus program dari kemenhub dan terimakasih buat aplikasi mitradarat, sangat membantu kami 👏😊"
5,Aplikasinya cukup akurat untuk tracking bus dan lokasi halte atau tempat pemberhentian bus
5,"Terima kasih, Aplikasi ini sangat membantu pengguna TemanBus krn dpt mengetahui posisi Bus realtime"
5,Alhamdulillah dapat tiket mudik gratis dari notifikasi aplikasi mitra darat. Aplikasinya keren dan bermanfaat
5,Sangat nyaman😇 klu bisa titik perhentian di daya dan Sudiang ditambah 🙏
5,"Saran min, untuk teman bus tambahin lagi jam operasional nyaa dong buat daerah bandung, jangan sampe jam 8 malem :( karna kadang suka pulang kerjaa minimal jam 9/10 min gituu terakhir biar bisa slow kalau ke halte huhu"
5,"Halo admin, mohon maaf. Apakah kuota per tanggal skrg sudah habis? Soalnya saya bisa log in tp ketika masukin asal dan tujuqn terus pencarian malah logo koktak biru orens gt, itu artinya apaya?"
5,"Pelayanan nya ramah , cepat, dan jelas Mantap Terima kasih"
5,sangat membantu untuk tracking bus dan menginformasikan waktu kedatangan bus dengan tepat 🫶🏻
5,"Sangat membantu saya dalam pemilihan armada bus saat akan menggunakan layanan bus tersebut , kir/ijin trayeknya hidup /mati dll"
5,"aplikasi nya bagus bangett, bisa trecking teman bus kota yg di tentukan"
5,"perkembangan sangat signifikan! selanjutnya, tambahkan layanan Saran / Kritik. agar kami dapat memberikan saran kepada Kementerian Perhubungan"
5,"Aplikasi transportasi yang cukup baik. bisa mengecek jadwal, record, pemesanan tiket dll"
5,"Aplikasinya bagus banget dan Alhamdulillah dapat tiket mudik gratis, terimakasih kemenhub dan mitra darat"
5,skrg udh mantap kl dulu mmg srg error n miss tingkatkan dan PERTAHANKAN MITRA DARATTTT
5,"Bagus kok apk nya, semuanya lancar dr awal download tinggal menu mudik gratis blm bs buat daftar nih"
5,"Aplikasinya bagus untuk mantau keberadaan bis, sangat terbantu sekali"
5,"Untuk sementara berfungsi semua,kalau bisa ditambahkan live cctv, terima kasih"
5,"Min tolong mudik gratis untuk yg kursi otomatis aja, soalnya ketika pilih bangku kalah cepet udah habis, kayak tahun kmren aja ...mohon di pertimbangkan"
5,Semoga transmusi terus maju dan pelayanan sangat baik. Bus yg sangat membantu aktifitas setiap hari.
5,"Sistem selalu eror tapi alhamdulillah dapet tiket mudik harusnya usir oknum"" Nakal kasian yg mau mudik dan yg suka cencel"" Jangan kasih lagi kasian yg butuh kalo bisa arus balik tambhn donk kejauhan posisinya mau mudik arus balik ga dapet sedih ih"
5,"Mantap, nunggu bis jadi enak karena bisa di tracking.......!!!!"
5,sangat membantu sekali untuk mencari rute BRT dan memeriksa kelayakan jalan kendaraan umum
5,"Min , ini kok susah banget aplikasi di pakai apa lagi menu cuma bebarapa aja ,, utk cek mudik gratis susah sekali"
5,Sangat membantu . mudah mudahan tahun depan dilanjutkan lagi.
5,"Kereennn..... Walaupun apps sulid dibuka , mungkin karena traffic yang dahsyat"
5,para pengguna transportasi sangat terbantu melalui aplikasi mitra darat...
5,"Kok gak bisa login email nya ya, keterangan http failed/try again"
5,Alhamdulillah ada aplikasi ini....jd g perlu ngantri ...tinggal sabar aja ngedaftarnya....semoga lancar sampai hari h
5,Aplikasi tracking yang sangat membantu
5,"sangat membantu 🙏,terima kasih atas tiket mk mudik nya"
5,mana ney mudik gratis nya blom muncul di menu nya
5,Aplikasi bagus tapi minta kerjasama dengan pelayanan Transjakarta dong biar bisa tau lokasi
5,Koridor cikarang belum ada ya kak Tp aplikasi nya sangant membantu sekali
5,Mantap solusi bt yg ga punya ongkos plg kampung
5,Sangat memudahkan penumpang
5,Alhamdulillah akhirnya aku dapat dari kemarin gak dapat
5,sangatttt sangattt informatif
5,Saya kasih bintang lima tapi sy minta bantu saya biar dapat tiket mudik gratis
5,mudah diakses untuk mudik gratis
5,Sangat membantu buat pemudik 🙏
5,Mantap joss selalu sukses dan jaya
5,txs banyak ya ya semoga bermanfaat
5,Pelayanan nya mantap
5,Aplikasi ya mantap dah pokonya
5,"Paling ok, mudik gratisnya, josss"
5,semoga bisa membantu rakyat tidak mampu
5,sangat membantu masyarakat yang mau mudik .
5,Terimakasih banyak sangat membantu
5,mudik gratis kemenhub Sangat membantu Warga perantau
5,"Slmt pg min,sy login ulang2 kok ngga masuk?,mhn solusinya"
5,Aplikasi bagus dan sangat membantu 👍👍👍
5,kata orang2 bus nya tidak beroperasi lagi di galesong yaa kak ? semoga kebijakan nya di perbaharui lagi ya kak soalnya saya kerja di makassar sangat membatu dan memudahkan sekali klau naik bus 🙏🙏
5,"Saya login tapi kode otp krm ke WA gak ada min, itu knp min jadinya saya gak bisa login minta bantuan nya min??"
5,aplikasi yg sangat bagus dan Alhamdulillah saya jadi dapat mudik gratis dari mitra darat
5,Aplikasi ini sangat membantu.terutama mudik gratisya suksses selalu buat mitradarat ya
5,susahnya daftar mudik gratis
5,Sekali kali arus mudik d adakan di tegal jangan cerbon mulu ...tegal ga ada terus buat arus mudik ...min min
5,Alhamdulilah yaallah dapet tiket gratis dr mitra darat mau daftar 3 lagi.. makasih mitra darat sukses dan berkah selalu.. aamiin
5,Aplikasi yang sangat membantu.... Semoga semakin baik dan bermanfaat terimakasih
5,"Sangat membantu, pelayanannya sangat baik dan memuaskan"
5,berguna bet buat bolak balik sekolah cihuy
5,sangat berguna untuk mengatahui angkutan fasilitas umum cocok buat dimana saja
5,"Mas Muchi semangat yaaaa, sehat sehat biar aplikasi ini makin ok dan mantap 🤟"
5,Aplikasi yang sangat bagus dan dapat berbagi informasi untuk masyarakat
5,Mudah mudahan hari ini dapet tiket mudik dari mitra darat
5,Mantap untuk memudahkan kita untuk berpergian
5,Infonya sangat membantu sekali
5,alhamdulilah setelah 50 menit warr tiket bisa masuk juga
5,mantab lancar jaya yg penting sabar
5,ubur ubur ikan lele . . . mudik nya pake mitra darat aja ya le . . .
5,bagus baik pelayanan ceoat
5,"blm bisa cara daftar mudik gratis,gmn caranya."
5,Bagai mana cara daftar mudik gratis thn 2025 dari tadi susah ya di cari
5,mitradarat sangat membantu
