score,content
5,Access by KAI ini aplikasi yg sangat membantu saya dalam mobilitas pergi ke luar kota dengan kereta. Sangat mudah cara memesannya dan mudah cara pembayarannya.
5,"Aplikasi sebagus ini koq pada bilang aplikasi sampah. Saya pengguna KAI Access sudah bertahun-tahun & aman² aja tuh. Proses pembatalannyapun juga mudah, dana langsung masuk ke rekening."
5,"Aplikasi ini sangat membantu, saya cukup puas selama memakai aplikasi ini. Tapi saya Tidak Tau cara merubah nomor HP pada aplikasi yang sudah ada/menambahakan aplikasi pada email yang sama juga Tidak bisa. Mohon lebih dimudahkan lagi, tapi tetap aman.🙏 Terimakasih"
5,"Baru pesan pertama kali ka lokal sudah gagal padahal pembayaran tidak melebihi estimasi waktu, saldo berkurang. Sudah laporan telp, email, cs. Hasilnya nihil, cuma sekedar janji. Sudah 3 bulan tidak ada kejelasan pengembalian dana. Tak kasih bintang 1 dulu. 2 jan 2023, tak tambah lagi bintangnya. Terima kasih saldo sudah kembali meskipun butuh waktu yang sangat lama."
5,"Mohon tanggapan nya, disebutkan bahwa fitur baru nya bisa pesan 1 jam 
sebelum alias harga go show tapi saya mau pesan kok tidak bisa ya, tidak 
bisa di klik padahal masih ada jatah kursinya"
5,Aplikasi yg sangat berguna dan bermanfaat sekali .... terus tingkatkan selalu performa aplikasi ini ... agar lebih banyak menarik minat para calon penumpang untuk beralih ke moda transportasi umum dgn menggunakan kereta . 🙏🏻
5,lebih cepat dan nyaman.
5,"Terimakasih kai acces, kami jadi bisa beli tiket tanpa harus pergi ke stasiun. Apl ini sdh lama saya nanti². Dalam versi lama, aplikasi ini sangat bagus dan tidak ada kendala apapun. Tetapi kenapa setelah update ke versi terbaru, pembelian tiket prosesnya lama, pdhal notifikasi pemotongan saldo dr link aja sdh muncul, tetapi dlam riwayat tiket saya tetap kosong. Setiap pembelian selalu seperti itu."
5,"Setelah menjadi access by kai koq gak lebih sulit mencari kota tujuan di kereta antar kota, contoh nulis madiun tapi tidak keluar stasiunnya.."
5,"Biasanya aman saja pakai aplikasi ini, sudah lama saya menggunakannya. Tp akhir2 ini tidak bisa milih tiket, pas di uninstall trus install ulang malah tidak bisa login. Padahal jaringan pake wifi, untuk aplikasi lain yaa juga lancar. Mohon di perbaiki lagi"
5,Saya sangat dimudahkan dengan aplikasi KAI Access sehingga tidak perlu antri lagi di loket untuk pembelian tiket baik kereta lokal maupun go show. Lebih baik lagi jika terintergrasi dengan e-wallet lain seperti GoPay/OVO dan lain-lain sehingga pengguna tidak diwajibkan memiliki Link Aja seperti saat ini.
5,acces internet nya cepat
5,"Hai kak, saya pengguna kai acces sejak dulu. Namun beberapa waktu lalu saya ganti hp dan mau login kembali ke aplikasi kai acces namun kenapa akun saya susah di verifikasi. Di aplikasi tertulis email verifikasi sudah dikirim tapi sayang mengecek tidak pernah ada email masuk, sudah saya coba berkali kali. Mohon bantuannya segera kak. Karena melalui apl kai acces sangat membantu untuk memesan tiket"
5,"Aplikasinya bagus banget mempermudah penumpang membeli tiket kereta, bisa lihat jadwal kereta dan tarif per kelasnya, aksesnya juga mudah...simpel dan efisien banget, sangat membantu 👍🏻"
