score,content,case folding,remove punctuation,stopword,normalized,stemming teks,token count
5,"senang ada transportasi ini, sangat mempermudah transportasi, simple, cepat, tepat.","senang ada transportasi ini, sangat mempermudah transportasi, simple, cepat, tepat.",senang  transportasi  sangat mempermudah transportasi simple cepat tepat,"['senang', 'transportasi', 'mempermudah', 'transportasi', 'simple', 'cepat']","['senang', 'transportasi', 'mempermudah', 'transportasi', 'sederhana', 'cepat']","['senang', 'transportasi', 'mudah', 'transportasi', 'sederhana', 'cepat']",6
5,"Sangat membantu perjalanan dengan aman, lancar, dan nyaman. semoga tetap jaya MRT.","sangat membantu perjalanan dengan aman, lancar, dan nyaman. semoga tetap jaya mrt.",sangat membantu perjalanan dengan aman lancar  nyaman semoga tetap jaya ,"['membantu', 'perjalanan', 'aman', 'lancar', 'nyaman', 'semoga', 'jaya']","['membantu', 'perjalanan', 'aman', 'lancar', 'nyaman', 'semoga', 'jaya']","['bantu', 'jalan', 'aman', 'lancar', 'nyaman', 'moga', 'jaya']",7
5,"Transportasi massal yang cepat, tepat waktu dan nyaman dan terintegrasi dengan modal transportasi lainnya","transportasi massal yang cepat, tepat waktu dan nyaman dan terintegrasi dengan modal transportasi lainnya",transportasi massal yang cepat tepat waktu  nyaman  terintegrasi dengan modal transportasi lainnya,"['transportasi', 'massal', 'cepat', 'nyaman', 'terintegrasi', 'modal', 'transportasi']","['transportasi', 'massal', 'cepat', 'nyaman', 'terintegrasi', 'modal', 'transportasi']","['transportasi', 'massal', 'cepat', 'nyaman', 'integrasi', 'modal', 'transportasi']",7
5,"MRT Jakarta adalah moda sarana transportasi Publik. Perlu di iklankan di media masa, agar Masyarakat semakin familiar dan ditingkatkan sarana pelayanannya. Dengan ada nya moda transportasi 🚇🚍🚋 Publik yang nyaman dan tepat waktu, maka masyarakat akan beralih dari moda transport pribadi ke sarana moda transportasi Publik. kerja sama Tim yang solid adalah kunci jawaban nya untuk membentuk suatu layanan moda transportasi yang Tangguh dan berkelas. Hormat saya, Andri H Terima Kasih.","mrt jakarta adalah moda sarana transportasi publik. perlu di iklankan di media masa, agar masyarakat semakin familiar dan ditingkatkan sarana pelayanannya. dengan ada nya moda transportasi 🚇🚍🚋 publik yang nyaman dan tepat waktu, maka masyarakat akan beralih dari moda transport pribadi ke sarana moda transportasi publik. kerja sama tim yang solid adalah kunci jawaban nya untuk membentuk suatu layanan moda transportasi yang tangguh dan berkelas. hormat saya, andri h terima kasih.", jakarta adalah moda sarana transportasi publik perlu  iklankan  media masa agar masyarakat semakin familiar  ditingkatkan sarana pelayanannya dengan   moda transportasi publik yang nyaman  tepat waktu maka masyarakat akan beralih dari moda transport pribadi  sarana moda transportasi publik kerja sama  yang solid adalah kunci jawaban  untuk membentuk suatu layanan moda transportasi yang tangguh  berkelas hormat saya andri  terima kasih,"['jakarta', 'moda', 'sarana', 'transportasi', 'publik', 'iklankan', 'media', 'masyarakat', 'familiar', 'ditingkatkan', 'sarana', 'pelayanannya', 'moda', 'transportasi', 'publik', 'nyaman', 'masyarakat', 'beralih', 'moda', 'transport', 'pribadi', 'sarana', 'moda', 'transportasi', 'publik', 'kerja', 'solid', 'kunci', 'membentuk', 'layanan', 'moda', 'transportasi', 'tangguh', 'berkelas', 'hormat', 'andri', 'terima', 'kasih']","['jakarta', 'moda', 'sarana', 'transportasi', 'publik', 'iklankan', 'media', 'masyarakat', 'familiar', 'di', 'tingkat', 'kan', 'sarana', 'pelayanannya', 'moda', 'transportasi', 'publik', 'nyaman', 'masyarakat', 'beralih', 'moda', 'transport', 'pribadi', 'sarana', 'moda', 'transportasi', 'publik', 'kerja', 'solid', 'kunci', 'membentuk', 'layanan', 'moda', 'transportasi', 'tangguh', 'berkelas', 'hormat', 'andri', 'terima', 'kasih']","['jakarta', 'moda', 'sarana', 'transportasi', 'publik', 'iklan', 'media', 'masyarakat', 'familiar', 'di', 'tingkat', 'kan', 'sarana', 'layan', 'moda', 'transportasi', 'publik', 'nyaman', 'masyarakat', 'alih', 'moda', 'transport', 'pribadi', 'sarana', 'moda', 'transportasi', 'publik', 'kerja', 'solid', 'kunci', 'bentuk', 'layan', 'moda', 'transportasi', 'tangguh', 'kelas', 'hormat', 'andri', 'terima', 'kasih']",40
5,"Kode refeal : 716605 update, tambahkan alarm kedatangan dan ketika sampai tujuan","kode refeal : 716605 update, tambahkan alarm kedatangan dan ketika sampai tujuan",kode refeal update tambahkan alarm kedatangan  ketika sampai tujuan,"['kode', 'refeal', 'update', 'tambahkan', 'alarm', 'kedatangan', 'tujuan']","['kode', 'refeal', 'pembaruan', 'tambahkan', 'alarm', 'kedatangan', 'tujuan']","['kode', 'refeal', 'baru', 'tambah', 'alarm', 'datang', 'tuju']",7
5,Aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,aplikasinya setiap kali liat jadwal perjalanan selalu kluar sendiri,"['aplikasinya', 'kali', 'liat', 'jadwal', 'perjalanan', 'kluar']","['aplikasi', 'nya', 'terkadang', 'lihat', 'jadwal', 'perjalanan', 'keluar']","['aplikasi', 'nya', 'terkadang', 'lihat', 'jadwal', 'jalan', 'keluar']",7
5,"perjalanan jadi lebih cepat dan tepat waktu, terimakasih","perjalanan jadi lebih cepat dan tepat waktu, terimakasih",perjalanan jadi lebih cepat  tepat waktu terimakasih,"['perjalanan', 'cepat', 'terimakasih']","['perjalanan', 'cepat', 'terima', 'kasih']","['jalan', 'cepat', 'terima', 'kasih']",4
5,"semoga lancar , masih bakal berubah rating kalau ketemu bug","semoga lancar , masih bakal berubah rating kalau ketemu bug",semoga lancar masih bakal berubah rating kalau ketemu ,"['semoga', 'lancar', 'berubah', 'rating', 'ketemu']","['semoga', 'lancar', 'berubah', 'penilaian', 'menemukan']","['moga', 'lancar', 'ubah', 'nilai', 'temu']",5
5,"MRR keren, aman dan nyaman, tp mahal adain promo sesekali","mrr keren, aman dan nyaman, tp mahal adain promo sesekali", keren aman  nyaman  mahal adain promo sesekali,"['keren', 'aman', 'nyaman', 'mahal', 'adain', 'promo']","['keren', 'aman', 'nyaman', 'mahal', 'adakan', 'promo']","['keren', 'aman', 'nyaman', 'mahal', 'adakan', 'promo']",6
5,"Sebelumnya saya capek naik turun platform di KRL Jabodetabek dan khalayak yg naik bermacam-macam. Sekarang dg MRT Jakarta sy merasa lebih aman untuk masuk gerbong dg platform yang datar dan penumpang yg sudah lebih memperhatikan kesehatan / prokes dan selevel orang kantoran. Memang di beberapa tujuan, sy harus membayar lebih mahal dg mobil on-line, tetapi perasaan ""secure"" dan ""nyaman"" membuat sy sbg lansia (usia 70 tahun) tidak merasa capek bepergian dg MRT. Terima kasih MRT Jakarta","sebelumnya saya capek naik turun platform di krl jabodetabek dan khalayak yg naik bermacam-macam. sekarang dg mrt jakarta sy merasa lebih aman untuk masuk gerbong dg platform yang datar dan penumpang yg sudah lebih memperhatikan kesehatan / prokes dan selevel orang kantoran. memang di beberapa tujuan, sy harus membayar lebih mahal dg mobil on-line, tetapi perasaan ""secure"" dan ""nyaman"" membuat sy sbg lansia (usia 70 tahun) tidak merasa capek bepergian dg mrt. terima kasih mrt jakarta",sebelumnya saya capek naik turun platform   jabodetabek  khalayak  naik bermacammacam sekarang   jakarta  merasa lebih aman untuk masuk gerbong  platform yang datar  penumpang  sudah lebih memperhatikan kesehatan prokes  selevel orang kantoran memang  beberapa tujuan  harus membayar lebih mahal  mobil online tetapi perasaan secure  nyaman membuat   lansia usia tahun tidak merasa capek bepergian   terima kasih  jakarta,"['capek', 'turun', 'platform', 'jabodetabek', 'khalayak', 'bermacammacam', 'jakarta', 'aman', 'masuk', 'gerbong', 'platform', 'datar', 'penumpang', 'memperhatikan', 'kesehatan', 'prokes', 'selevel', 'orang', 'kantoran', 'tujuan', 'membayar', 'mahal', 'mobil', 'online', 'perasaan', 'secure', 'nyaman', 'lansia', 'usia', 'capek', 'bepergian', 'terima', 'kasih', 'jakarta']","['lelah', 'turun', 'platform', 'jabodetabek', 'khalayak', 'bermacammacam', 'jakarta', 'aman', 'masuk', 'gerbong', 'platform', 'datar', 'penumpang', 'memperhatikan', 'kesehatan', 'protokol', 'kesehatan', 'setara', 'orang', 'kantoran', 'tujuan', 'membayar', 'mahal', 'mobil', 'online', 'perasaan', 'amana', 'nyaman', 'lansia', 'usia', 'lelah', 'bepergian', 'terima', 'kasih', 'jakarta']","['lelah', 'turun', 'platform', 'jabodetabek', 'khalayak', 'bermacammacam', 'jakarta', 'aman', 'masuk', 'gerbong', 'platform', 'datar', 'tumpang', 'perhati', 'sehat', 'protokol', 'sehat', 'tara', 'orang', 'kantor', 'tuju', 'bayar', 'mahal', 'mobil', 'online', 'asa', 'amana', 'nyaman', 'lansia', 'usia', 'lelah', 'pergi', 'terima', 'kasih', 'jakarta']",35
